gen,score,h_total,s_total,time,diversity,sa_impact,H_Total,S_Total,H1_Prof,H2_Salle,H3_Grp,H4_Cap,H9_Indisp,S3_Gaps,S4_Lunch,S6_Stab,S8_FreeApm,S10_Sat,S11_CMLate
1,12102093.0,12,102093.0,54.52424144744873,97.60162601626018,117617685.875,12,102093.0,1,11,0,0,0,3620,1640,8000,1200,85000,240
2,2111388.5,2,111388.5,54.1162314414978,98.2520325203252,76511787.625,2,111388.5,0,2,0,0,0,2800,1800,7700,1200,95000,210
3,126092.0,0,126092.0,49.93368649482727,93.78048780487805,66281080.625,0,126092.0,0,0,0,0,0,2670,1840,7700,1200,110000,270
4,95989.5,0,95989.5,57.106385707855225,94.6341463414634,68470851.15833333,0,95989.5,0,0,0,0,0,3400,1680,7200,1300,80000,240
5,75002.0,0,75002.0,59.84780502319336,87.39837398373982,53248815.075,0,75002.0,0,0,0,0,0,3230,1560,6600,1200,60000,240
6,64782.0,0,64782.0,51.93701410293579,92.39837398373984,51412746.69166667,0,64782.0,0,0,0,0,0,2870,1560,6400,1200,50000,270
7,64342.0,0,64342.0,56.62221002578735,88.82113821138212,53905716.93333333,0,64342.0,0,0,0,0,0,2660,1520,6300,1100,50000,270
8,54576.5,0,54576.5,60.26569223403931,82.8048780487805,37080730.99166667,0,54576.5,0,0,0,0,0,3320,1480,6400,1100,40000,240
9,49344.0,0,49344.0,57.91312837600708,73.4959349593496,28543979.8,0,49344.0,0,0,0,0,0,2800,1560,6200,1100,35000,270
10,43854.0,0,43854.0,59.98601293563843,69.91869918699186,30471080.85,0,43854.0,0,0,0,0,0,2630,1520,5900,1000,30000,270
11,38569.75,0,38569.75,52.873291969299316,80.73170731707316,31201508.391666666,0,38569.75,0,0,0,0,0,2490,1520,6000,900,25000,240
12,33628.0,0,33628.0,59.98141813278198,67.56097560975608,31969773.425,0,33628.0,0,0,0,0,0,2450,1560,6200,900,20000,240
13,33326.0,0,33326.0,66.59034752845764,43.292682926829265,14347669.533333333,0,33326.0,0,0,0,0,0,2440,1560,5900,900,20000,240
14,23115.0,0,23115.0,52.47932505607605,51.38211382113822,12341855.733333332,0,23115.0,0,0,0,0,0,2420,1600,5900,800,10000,270
15,22944.5,0,22944.5,56.17989659309387,62.520325203252035,18669640.091666665,0,22944.5,0,0,0,0,0,2250,1560,5800,800,10000,270
16,17908.25,0,17908.25,67.19832181930542,66.01626016260164,25032857.116666667,0,17908.25,0,0,0,0,0,2270,1520,5800,700,5000,270
17,17908.25,0,17908.25,57.76735305786133,64.0650406504065,19174456.225,0,17908.25,0,0,0,0,0,2270,1520,5800,700,5000,270
18,17843.25,0,17843.25,56.466734886169434,48.739837398373986,15876798.55,0,17843.25,0,0,0,0,0,2280,1520,5700,700,5000,270
19,17833.25,0,17833.25,52.783756732940674,57.27642276422764,19071720.716666665,0,17833.25,0,0,0,0,0,2280,1520,5700,700,5000,270
20,17828.25,0,17828.25,53.88040232658386,54.39024390243902,18035847.95,0,17828.25,0,0,0,0,0,2270,1520,5700,700,5000,270
21,17780.75,0,17780.75,57.47045612335205,57.723577235772375,19307396.0,0,17780.75,0,0,0,0,0,2230,1520,5700,700,5000,270
22,17773.25,0,17773.25,59.53456497192383,47.60162601626017,16240888.933333334,0,17773.25,0,0,0,0,0,2230,1560,5700,700,5000,270
23,17773.25,0,17773.25,64.02232122421265,37.235772357723576,11179653.566666666,0,17773.25,0,0,0,0,0,2230,1560,5700,700,5000,270
24,17743.25,0,17743.25,67.00527167320251,26.585365853658534,7084354.25,0,17743.25,0,0,0,0,0,2230,1480,5700,700,5000,270
25,17568.25,0,17568.25,64.24566841125488,36.17886178861789,5354136.191666666,0,17568.25,0,0,0,0,0,2010,1520,5800,700,5000,240
26,17568.25,0,17568.25,60.57477807998657,25.040650406504067,3487874.2666666666,0,17568.25,0,0,0,0,0,2010,1520,5800,700,5000,240
27,17468.25,0,17468.25,56.97744107246399,38.4959349593496,8612398.025,0,17468.25,0,0,0,0,0,2010,1520,5700,700,5000,240
28,17360.25,0,17360.25,51.04501295089722,59.10569105691057,18569326.591666665,0,17360.25,0,0,0,0,0,1890,1520,5700,700,5000,240
29,17360.25,0,17360.25,55.77522397041321,50.93495934959351,12907585.6,0,17360.25,0,0,0,0,0,1890,1520,5700,700,5000,240
30,17340.25,0,17340.25,51.684075117111206,55.243902439024396,16803252.558333334,0,17340.25,0,0,0,0,0,1890,1480,5700,700,5000,240
31,17340.25,0,17340.25,53.156474351882935,64.75609756097562,21837379.975,0,17340.25,0,0,0,0,0,1890,1480,5700,700,5000,240
32,17328.25,0,17328.25,54.474016427993774,65.52845528455286,27238731.491666667,0,17328.25,0,0,0,0,0,1890,1480,5700,700,5000,240
33,17328.25,0,17328.25,47.9714560508728,67.64227642276424,24271742.491666667,0,17328.25,0,0,0,0,0,1890,1480,5700,700,5000,240
34,17328.25,0,17328.25,49.437172651290894,56.666666666666664,22141820.166666668,0,17328.25,0,0,0,0,0,1890,1480,5700,700,5000,240
35,17328.25,0,17328.25,52.27111005783081,40.1219512195122,11045522.833333334,0,17328.25,0,0,0,0,0,1890,1480,5700,700,5000,240
36,17324.75,0,17324.75,54.33108162879944,37.03252032520326,6884904.533333333,0,17324.75,0,0,0,0,0,2060,1480,5600,700,5000,240
37,17324.75,0,17324.75,56.44732975959778,41.38211382113822,8776241.9,0,17324.75,0,0,0,0,0,2060,1480,5600,700,5000,240
38,17224.75,0,17224.75,54.03512263298035,39.918699186991866,7850265.291666667,0,17224.75,0,0,0,0,0,2060,1480,5500,700,5000,240
39,17056.75,0,17056.75,61.844078063964844,27.317073170731703,6950977.658333333,0,17056.75,0,0,0,0,0,1990,1520,5400,700,5000,240
40,17056.75,0,17056.75,48.88946199417114,23.78048780487805,7217504.075,0,17056.75,0,0,0,0,0,1990,1520,5400,700,5000,240
41,17056.75,0,17056.75,50.456380128860474,31.951219512195124,10015636.425,0,17056.75,0,0,0,0,0,1990,1520,5400,700,5000,240
42,16744.75,0,16744.75,52.410006046295166,46.829268292682926,10510216.758333333,0,16744.75,0,0,0,0,0,1990,1520,5200,700,5000,240
43,12070.25,0,12070.25,49.495983839035034,48.57723577235772,17205682.425,0,12070.25,0,0,0,0,0,2060,1600,5400,800,0,240
44,11895.25,0,11895.25,53.54062366485596,53.13008130081302,21270686.075,0,11895.25,0,0,0,0,0,1910,1520,5400,800,0,240
45,11766.25,0,11766.25,53.32637095451355,40.1219512195122,15910838.975,0,11766.25,0,0,0,0,0,1810,1520,5300,800,0,240
46,11766.25,0,11766.25,51.46614146232605,39.95934959349594,11009640.875,0,11766.25,0,0,0,0,0,1810,1520,5300,800,0,240
47,11391.25,0,11391.25,57.49419045448303,44.959349593495936,11813307.15,0,11391.25,0,0,0,0,0,1470,1480,5200,900,0,240
48,11391.25,0,11391.25,57.99760913848877,44.71544715447154,12377338.691666666,0,11391.25,0,0,0,0,0,1470,1480,5200,900,0,240
49,11391.25,0,11391.25,65.79503321647644,31.21951219512195,10313314.808333334,0,11391.25,0,0,0,0,0,1470,1480,5200,900,0,240
50,11315.25,0,11315.25,81.73902130126953,7.6016260162601625,1828151.3333333333,0,11315.25,0,0,0,0,0,1450,1520,5200,800,0,240
51,11215.25,0,11215.25,79.71744298934937,16.951219512195124,2459152.325,0,11215.25,0,0,0,0,0,1450,1520,5100,800,0,240
52,11123.25,0,11123.25,80.03515577316284,19.186991869918703,3587253.4583333335,0,11123.25,0,0,0,0,0,1440,1560,5000,700,0,240
53,11123.25,0,11123.25,82.26183104515076,22.601626016260163,5217545.941666666,0,11123.25,0,0,0,0,0,1440,1560,5000,700,0,240
54,11123.25,0,11123.25,72.79767680168152,31.17886178861789,6546464.325,0,11123.25,0,0,0,0,0,1440,1560,5000,700,0,240
55,11018.25,0,11018.25,59.14809823036194,40.325203252032516,8378229.25,0,11018.25,0,0,0,0,0,1350,1520,5000,800,0,240
56,11018.25,0,11018.25,64.17444634437561,47.80487804878049,16401839.783333333,0,11018.25,0,0,0,0,0,1350,1520,5000,800,0,240
57,11018.25,0,11018.25,60.800057888031006,54.10569105691058,16508719.325,0,11018.25,0,0,0,0,0,1350,1520,5000,800,0,240
58,10915.25,0,10915.25,85.24063324928284,27.11382113821138,6554531.166666667,0,10915.25,0,0,0,0,0,1350,1480,5000,800,0,240
59,10915.25,0,10915.25,71.29266238212585,25.609756097560975,7081998.583333333,0,10915.25,0,0,0,0,0,1350,1480,5000,800,0,240
60,10915.25,0,10915.25,54.47023820877075,30.24390243902439,6182785.816666666,0,10915.25,0,0,0,0,0,1350,1480,5000,800,0,240
61,10915.25,0,10915.25,60.41721963882446,28.983739837398375,9179428.816666666,0,10915.25,0,0,0,0,0,1350,1480,5000,800,0,240
62,10915.25,0,10915.25,59.654186725616455,44.91869918699187,12674637.775,0,10915.25,0,0,0,0,0,1350,1480,5000,800,0,240
63,10915.25,0,10915.25,64.10648202896118,50.97560975609756,17243591.825,0,10915.25,0,0,0,0,0,1350,1480,5000,800,0,240
64,10915.25,0,10915.25,58.083194732666016,62.317073170731696,18039142.341666665,0,10915.25,0,0,0,0,0,1350,1480,5000,800,0,240
65,10915.25,0,10915.25,65.1196060180664,57.56097560975609,18606791.825,0,10915.25,0,0,0,0,0,1350,1480,5000,800,0,240
66,10915.25,0,10915.25,88.46152567863464,46.42276422764227,12744112.808333334,0,10915.25,0,0,0,0,0,1350,1480,5000,800,0,240
67,10915.25,0,10915.25,76.82470035552979,37.073170731707314,7881600.383333334,0,10915.25,0,0,0,0,0,1350,1480,5000,800,0,240
68,10911.75,0,10911.75,58.88408041000366,32.926829268292686,11508634.225,0,10911.75,0,0,0,0,0,1340,1560,4900,800,0,210
69,10911.75,0,10911.75,59.39597463607788,40.772357723577244,13174848.741666667,0,10911.75,0,0,0,0,0,1340,1560,4900,800,0,210
70,10891.75,0,10891.75,68.71830201148987,48.33333333333334,14105072.391666668,0,10891.75,0,0,0,0,0,1340,1560,4900,800,0,210
71,10891.75,0,10891.75,83.83549571037292,53.94308943089431,14910161.266666668,0,10891.75,0,0,0,0,0,1340,1560,4900,800,0,210
72,10891.75,0,10891.75,91.99327492713928,46.7479674796748,11578351.775,0,10891.75,0,0,0,0,0,1340,1560,4900,800,0,210
73,10784.75,0,10784.75,69.60120415687561,37.60162601626016,10413580.491666667,0,10784.75,0,0,0,0,0,1440,1560,4800,800,0,210
74,10784.75,0,10784.75,85.79356837272644,15.731707317073171,6316552.866666666,0,10784.75,0,0,0,0,0,1440,1560,4800,800,0,210
75,10764.75,0,10764.75,99.92355823516846,15.813008130081299,4755821.275,0,10764.75,0,0,0,0,0,1440,1520,4800,800,0,210
76,10764.75,0,10764.75,71.2892804145813,24.22764227642277,4755251.941666666,0,10764.75,0,0,0,0,0,1440,1520,4800,800,0,210
77,10764.75,0,10764.75,78.17898106575012,21.463414634146343,7618687.383333334,0,10764.75,0,0,0,0,0,1440,1520,4800,800,0,210
78,10764.75,0,10764.75,62.41831636428833,27.11382113821138,6950390.558333334,0,10764.75,0,0,0,0,0,1440,1520,4800,800,0,210
79,10704.75,0,10704.75,71.86829566955566,17.4390243902439,5052185.641666667,0,10704.75,0,0,0,0,0,1440,1560,4700,800,0,210
80,10704.75,0,10704.75,76.66831851005554,24.634146341463413,2856062.175,0,10704.75,0,0,0,0,0,1440,1560,4700,800,0,210
81,10704.75,0,10704.75,67.59853076934814,24.715447154471544,4752543.525,0,10704.75,0,0,0,0,0,1440,1560,4700,800,0,210
82,10659.75,0,10659.75,100.47401165962219,22.154471544715452,3389610.875,0,10659.75,0,0,0,0,0,1430,1520,4700,700,0,210
83,10659.75,0,10659.75,89.79161310195923,27.276422764227643,2957937.191666667,0,10659.75,0,0,0,0,0,1430,1520,4700,700,0,210
84,10659.75,0,10659.75,109.25497961044312,27.113821138211385,3385911.0416666665,0,10659.75,0,0,0,0,0,1430,1520,4700,700,0,210
85,10629.75,0,10629.75,87.2246081829071,23.414634146341466,1593160.4,0,10629.75,0,0,0,0,0,1410,1520,4700,700,0,210
86,10629.75,0,10629.75,129.4906153678894,5.650406504065042,962905.5916666667,0,10629.75,0,0,0,0,0,1410,1520,4700,700,0,210
87,10629.75,0,10629.75,98.91302680969238,10.162601626016261,1027738.0833333334,0,10629.75,0,0,0,0,0,1410,1520,4700,700,0,210
88,10629.75,0,10629.75,80.32538366317749,5.975609756097562,1191773.95,0,10629.75,0,0,0,0,0,1410,1520,4700,700,0,210
89,10597.75,0,10597.75,85.3894510269165,12.235772357723578,893872.7333333333,0,10597.75,0,0,0,0,0,1420,1480,4700,700,0,210
90,10594.75,0,10594.75,84.50952744483948,15.325203252032521,1128170.675,0,10594.75,0,0,0,0,0,1410,1480,4700,700,0,210
91,10594.75,0,10594.75,100.61082816123962,10.73170731707317,927210.1333333333,0,10594.75,0,0,0,0,0,1410,1480,4700,700,0,210
92,10579.75,0,10579.75,120.75123524665833,2.9268292682926838,430513.4,0,10579.75,0,0,0,0,0,1410,1480,4700,700,0,210
93,10559.75,0,10559.75,88.32922434806824,13.617886178861788,1660708.975,0,10559.75,0,0,0,0,0,1410,1480,4700,700,0,210
94,10559.75,0,10559.75,77.19909381866455,20.65040650406504,3218833.316666667,0,10559.75,0,0,0,0,0,1410,1480,4700,700,0,210
95,10559.75,0,10559.75,60.13608527183533,19.471544715447155,2952307.9583333335,0,10559.75,0,0,0,0,0,1410,1480,4700,700,0,210
96,10559.75,0,10559.75,61.673978328704834,25.731707317073173,5881021.441666666,0,10559.75,0,0,0,0,0,1410,1480,4700,700,0,210
97,10553.75,0,10553.75,79.15924787521362,15.975609756097564,4388664.15,0,10553.75,0,0,0,0,0,1410,1480,4700,700,0,210
98,10514.75,0,10514.75,83.70490050315857,12.154471544715447,1726706.325,0,10514.75,0,0,0,0,0,1410,1520,4600,700,0,210
99,10479.75,0,10479.75,69.29506707191467,15.894308943089433,2957281.625,0,10479.75,0,0,0,0,0,1410,1520,4600,700,0,210
100,10479.75,0,10479.75,77.44704127311707,33.41463414634146,5484261.008333334,0,10479.75,0,0,0,0,0,1410,1520,4600,700,0,210
101,10474.75,0,10474.75,73.25661039352417,31.829268292682933,8717540.958333334,0,10474.75,0,0,0,0,0,1410,1480,4600,700,0,210
102,10379.75,0,10379.75,67.72177910804749,11.178861788617885,5055282.9,0,10379.75,0,0,0,0,0,1410,1520,4500,700,0,210
103,10374.75,0,10374.75,76.69935917854309,18.861788617886184,3754351.533333333,0,10374.75,0,0,0,0,0,1410,1480,4500,700,0,210
104,10374.75,0,10374.75,91.90421652793884,23.57723577235772,6387747.116666666,0,10374.75,0,0,0,0,0,1410,1480,4500,700,0,210
105,10359.75,0,10359.75,96.32209372520447,17.886178861788622,4920088.308333334,0,10359.75,0,0,0,0,0,1410,1480,4500,700,0,210
106,10351.75,0,10351.75,117.8048107624054,7.479674796747967,2160882.1,0,10351.75,0,0,0,0,0,1410,1440,4500,700,0,210
107,10339.75,0,10339.75,102.56458497047424,13.902439024390242,3822733.975,0,10339.75,0,0,0,0,0,1410,1440,4500,700,0,210
108,10339.75,0,10339.75,88.47466659545898,13.57723577235772,2090744.7166666666,0,10339.75,0,0,0,0,0,1410,1440,4500,700,0,210
109,10339.75,0,10339.75,117.3719093799591,22.032520325203247,4353597.625,0,10339.75,0,0,0,0,0,1410,1440,4500,700,0,210
110,10339.75,0,10339.75,109.05065822601318,19.552845528455283,4318321.633333334,0,10339.75,0,0,0,0,0,1410,1440,4500,700,0,210
111,10339.75,0,10339.75,102.03401398658752,18.333333333333332,4884592.158333333,0,10339.75,0,0,0,0,0,1410,1440,4500,700,0,210
112,10339.75,0,10339.75,80.40068411827087,28.902439024390247,5918726.458333333,0,10339.75,0,0,0,0,0,1410,1440,4500,700,0,210
113,10339.75,0,10339.75,73.12981152534485,35.447154471544714,8044473.775,0,10339.75,0,0,0,0,0,1410,1440,4500,700,0,210
114,10339.75,0,10339.75,81.87326765060425,41.86991869918699,6385288.775,0,10339.75,0,0,0,0,0,1410,1440,4500,700,0,210
115,10339.75,0,10339.75,94.11240148544312,18.65853658536585,1859497.4916666667,0,10339.75,0,0,0,0,0,1410,1440,4500,700,0,210
116,10339.75,0,10339.75,106.6887993812561,6.056910569105691,1029098.8333333334,0,10339.75,0,0,0,0,0,1410,1440,4500,700,0,210
117,10332.75,0,10332.75,113.99817395210266,5.650406504065041,663319.5916666667,0,10332.75,0,0,0,0,0,1410,1480,4500,700,0,210
118,10332.75,0,10332.75,98.3612892627716,11.666666666666666,960793.45,0,10332.75,0,0,0,0,0,1410,1480,4500,700,0,210
119,10332.75,0,10332.75,72.8284080028534,15.731707317073171,2054125.825,0,10332.75,0,0,0,0,0,1410,1480,4500,700,0,210
120,10332.75,0,10332.75,84.1015465259552,20.894308943089428,3885838.183333333,0,10332.75,0,0,0,0,0,1410,1480,4500,700,0,210
