gen,score,h_total,s_total,time,diversity,sa_impact,H_Total,S_Total,H1_Prof,H2_Salle,H3_Grp,H4_Cap,H9_Indisp,S3_Gaps,S4_Lunch,S6_Stab,S8_FreeApm,S10_Sat,S12_Block
1,22280779.5,22,280779.5,7.446367263793945,0,0,22,280779.5,0,7,15,0,0,3430,81320,8000,1100,104000,80000
2,13280692.5,13,280692.5,7.65577507019043,0,0,13,280692.5,0,5,8,0,0,3090,81360,8300,1200,104000,80000
3,2239169.0,2,239169.0,7.880643606185913,0,0,2,239169.0,0,2,0,0,0,3250,51680,8200,1200,102000,70000
4,1237529.0,1,237529.0,7.656951665878296,0,0,1,237529.0,0,0,1,0,0,3060,41720,7900,1300,96000,85000
5,1221460.25,1,221460.25,8.412664890289307,0,0,1,221460.25,0,0,1,0,0,2810,61560,7800,1400,80000,65000
6,186018.5,0,186018.5,7.925370931625366,0,0,0,186018.5,0,0,0,0,0,3110,21560,7400,1500,65000,85000
7,161978.5,0,161978.5,7.4601922035217285,0,0,0,161978.5,0,0,0,0,0,3260,21480,7500,1400,61000,65000
8,135768.75,0,135768.75,7.212319612503052,0,0,0,135768.75,0,0,0,0,0,2910,21520,7800,1100,45000,55000
9,135768.75,0,135768.75,7.708043575286865,0,0,0,135768.75,0,0,0,0,0,2910,21520,7800,1100,45000,55000
10,115495.0,0,115495.0,7.919411897659302,0,0,0,115495.0,0,0,0,0,0,2910,21240,7600,1200,45000,35000
11,114998.5,0,114998.5,8.061155557632446,0,0,0,114998.5,0,0,0,0,0,2610,21120,7500,1200,45000,35000
12,109987.5,0,109987.5,7.962263584136963,0,0,0,109987.5,0,0,0,0,0,2830,21320,7300,1100,40000,35000
13,104612.5,0,104612.5,7.606054782867432,0,0,0,104612.5,0,0,0,0,0,2470,11240,7200,1200,40000,40000
14,95146.0,0,95146.0,7.8609325885772705,0,0,0,95146.0,0,0,0,0,0,2810,21320,7400,1100,35000,25000
15,94191.0,0,94191.0,7.8331990242004395,0,0,0,94191.0,0,0,0,0,0,3020,21360,7200,1100,34000,25000
16,89293.5,0,89293.5,7.655481576919556,0,0,0,89293.5,0,0,0,0,0,2790,21320,7500,1100,29000,25000
17,89101.0,0,89101.0,7.36795449256897,0,0,0,89101.0,0,0,0,0,0,2600,21240,7500,1200,29000,25000
18,88968.5,0,88968.5,7.725640773773193,0,0,0,88968.5,0,0,0,0,0,2560,21240,7500,1100,29000,25000
19,87648.5,0,87648.5,9.275272846221924,0,0,0,87648.5,0,0,0,0,0,2680,21280,7200,1100,28000,25000
20,87648.5,0,87648.5,8.889397859573364,0,0,0,87648.5,0,0,0,0,0,2680,21280,7200,1100,28000,25000
21,84577.25,0,84577.25,7.441683530807495,0,0,0,84577.25,0,0,0,0,0,2980,21400,6900,1000,25000,25000
22,84537.25,0,84537.25,7.5020527839660645,0,0,0,84537.25,0,0,0,0,0,2980,21360,6900,1000,25000,25000
23,82192.25,0,82192.25,7.319192171096802,0,0,0,82192.25,0,0,0,0,0,2860,21440,6600,1000,23000,25000
24,77837.25,0,77837.25,7.847521781921387,0,0,0,77837.25,0,0,0,0,0,3170,11480,7000,900,23000,30000
25,76407.25,0,76407.25,7.80019211769104,0,0,0,76407.25,0,0,0,0,0,3040,11400,6700,900,22000,30000
26,72220.0,0,72220.0,7.443183183670044,0,0,0,72220.0,0,0,0,0,0,2720,11440,6600,900,18000,30000
27,71948.5,0,71948.5,7.787050724029541,0,0,0,71948.5,0,0,0,0,0,2440,11360,6400,1000,18000,30000
28,71221.75,0,71221.75,8.65224838256836,0,0,0,71221.75,0,0,0,0,0,2310,11320,6400,800,18000,30000
29,71221.75,0,71221.75,7.364416837692261,0,0,0,71221.75,0,0,0,0,0,2310,11320,6400,800,18000,30000
30,71136.75,0,71136.75,7.381927013397217,0,0,0,71136.75,0,0,0,0,0,2290,11280,6400,800,18000,30000
31,71124.25,0,71124.25,7.403871059417725,0,0,0,71124.25,0,0,0,0,0,2190,11320,6300,900,18000,30000
32,70676.75,0,70676.75,7.747874975204468,0,0,0,70676.75,0,0,0,0,0,2290,11240,6000,800,18000,30000
33,70381.75,0,70381.75,7.636547565460205,0,0,0,70381.75,0,0,0,0,0,1890,11360,6000,900,18000,30000
34,70245.0,0,70245.0,7.528008460998535,0,0,0,70245.0,0,0,0,0,0,1960,11320,6000,900,18000,30000
35,69438.25,0,69438.25,7.422858953475952,0,0,0,69438.25,0,0,0,0,0,2080,11400,5700,900,17000,30000
36,69438.25,0,69438.25,7.894284963607788,0,0,0,69438.25,0,0,0,0,0,2080,11400,5700,900,17000,30000
37,69369.0,0,69369.0,8.150436162948608,0,0,0,69369.0,0,0,0,0,0,1770,11320,5900,1000,17000,30000
38,69363.25,0,69363.25,8.285282850265503,0,0,0,69363.25,0,0,0,0,0,2020,11400,5700,900,17000,30000
39,65095.75,0,65095.75,7.672224760055542,0,0,0,65095.75,0,0,0,0,0,2440,11440,6000,900,12000,30000
40,64190.75,0,64190.75,7.453660011291504,0,0,0,64190.75,0,0,0,0,0,2430,11440,6000,900,11000,30000
41,64133.75,0,64133.75,8.0816650390625,0,0,0,64133.75,0,0,0,0,0,2370,11440,6000,900,11000,30000
42,63955.75,0,63955.75,7.9212117195129395,0,0,0,63955.75,0,0,0,0,0,2310,11440,5900,900,11000,30000
43,63658.5,0,63658.5,9.300422430038452,0,0,0,63658.5,0,0,0,0,0,2100,11360,5900,900,11000,30000
44,63397.0,0,63397.0,7.841397523880005,0,0,0,63397.0,0,0,0,0,0,1920,11280,5900,900,11000,30000
45,63317.0,0,63317.0,8.269304275512695,0,0,0,63317.0,0,0,0,0,0,1920,11320,5800,900,11000,30000
46,63152.0,0,63152.0,8.031749963760376,0,0,0,63152.0,0,0,0,0,0,1930,11360,5700,800,11000,30000
47,63116.0,0,63116.0,9.175809383392334,0,0,0,63116.0,0,0,0,0,0,1930,11320,5700,900,11000,30000
48,63017.0,0,63017.0,9.526841640472412,0,0,0,63017.0,0,0,0,0,0,1930,11320,5600,800,11000,30000
49,63017.0,0,63017.0,7.875844955444336,0,0,0,63017.0,0,0,0,0,0,1930,11320,5600,800,11000,30000
50,62831.25,0,62831.25,9.336761474609375,0,0,0,62831.25,0,0,0,0,0,1890,11320,5600,700,11000,30000
51,62821.25,0,62821.25,10.861632108688354,0,0,0,62821.25,0,0,0,0,0,1800,11280,5700,700,11000,30000
52,62821.25,0,62821.25,7.749768495559692,0,0,0,62821.25,0,0,0,0,0,1800,11280,5700,700,11000,30000
53,62813.25,0,62813.25,8.268432378768921,0,0,0,62813.25,0,0,0,0,0,1880,11280,5600,700,11000,30000
54,62476.75,0,62476.75,7.8888633251190186,0,0,0,62476.75,0,0,0,0,0,1730,11240,5500,700,11000,30000
55,62351.75,0,62351.75,7.9702959060668945,0,0,0,62351.75,0,0,0,0,0,1730,11200,5400,700,11000,30000
56,62351.75,0,62351.75,8.505427360534668,0,0,0,62351.75,0,0,0,0,0,1730,11200,5400,700,11000,30000
57,62257.75,0,62257.75,8.875165700912476,0,0,0,62257.75,0,0,0,0,0,1740,11200,5300,800,11000,30000
58,62227.75,0,62227.75,7.1362035274505615,0,0,0,62227.75,0,0,0,0,0,1720,11200,5300,800,11000,30000
59,62227.75,0,62227.75,7.541091203689575,0,0,0,62227.75,0,0,0,0,0,1720,11200,5300,800,11000,30000
60,62227.75,0,62227.75,7.398632287979126,0,0,0,62227.75,0,0,0,0,0,1720,11200,5300,800,11000,30000
61,62215.75,0,62215.75,7.617947101593018,0,0,0,62215.75,0,0,0,0,0,1720,11200,5300,800,11000,30000
62,62115.75,0,62115.75,7.460817098617554,0,0,0,62115.75,0,0,0,0,0,1720,11200,5200,800,11000,30000
63,62015.75,0,62015.75,7.610070466995239,0,0,0,62015.75,0,0,0,0,0,1720,11200,5100,800,11000,30000
64,62015.75,0,62015.75,7.856841325759888,0,0,0,62015.75,0,0,0,0,0,1720,11200,5100,800,11000,30000
65,61982.75,0,61982.75,8.543590545654297,0,0,0,61982.75,0,0,0,0,0,1730,11160,5100,800,11000,30000
66,61685.0,0,61685.0,7.592160940170288,0,0,0,61685.0,0,0,0,0,0,1550,11160,5000,800,11000,30000
67,61625.0,0,61625.0,7.377442359924316,0,0,0,61625.0,0,0,0,0,0,1550,11200,4900,800,11000,30000
68,61525.0,0,61525.0,7.362122058868408,0,0,0,61525.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
69,61525.0,0,61525.0,7.7385547161102295,0,0,0,61525.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
70,61525.0,0,61525.0,7.473782539367676,0,0,0,61525.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
71,61515.0,0,61515.0,7.6326165199279785,0,0,0,61515.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
72,61500.0,0,61500.0,7.370676517486572,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
73,61500.0,0,61500.0,8.775985717773438,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
74,61500.0,0,61500.0,7.9773948192596436,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
75,61500.0,0,61500.0,7.36385440826416,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
76,61500.0,0,61500.0,7.336398363113403,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
77,61500.0,0,61500.0,8.122032403945923,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
78,61500.0,0,61500.0,7.757606506347656,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
79,61500.0,0,61500.0,7.492084264755249,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
80,61500.0,0,61500.0,8.18505859375,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
81,61500.0,0,61500.0,7.817988872528076,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
82,61500.0,0,61500.0,7.648648738861084,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
83,61500.0,0,61500.0,7.769127607345581,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
84,61500.0,0,61500.0,7.39473295211792,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
85,61500.0,0,61500.0,7.323131799697876,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
86,61500.0,0,61500.0,8.221094131469727,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
87,61500.0,0,61500.0,7.568013668060303,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
88,61500.0,0,61500.0,8.496422052383423,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
89,61500.0,0,61500.0,7.959211826324463,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
90,61500.0,0,61500.0,7.255063772201538,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
91,61500.0,0,61500.0,7.47796368598938,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
92,61500.0,0,61500.0,7.654583215713501,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
93,61500.0,0,61500.0,7.983880519866943,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
94,61500.0,0,61500.0,7.6585307121276855,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
95,61500.0,0,61500.0,7.743086338043213,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
96,61500.0,0,61500.0,8.804176807403564,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
97,61500.0,0,61500.0,8.044839859008789,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
98,61500.0,0,61500.0,7.362011671066284,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
99,61500.0,0,61500.0,7.3470587730407715,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
100,61500.0,0,61500.0,7.477176666259766,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
101,61500.0,0,61500.0,7.76664400100708,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
102,61500.0,0,61500.0,7.581149101257324,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
103,61500.0,0,61500.0,7.827602863311768,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
104,61500.0,0,61500.0,8.292041540145874,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
105,61500.0,0,61500.0,7.892762899398804,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
106,61500.0,0,61500.0,8.329911947250366,0,0,0,61500.0,0,0,0,0,0,1550,11200,4800,800,11000,30000
107,61480.0,0,61480.0,7.311283826828003,0,0,0,61480.0,0,0,0,0,0,1560,11160,4800,800,11000,30000
108,61480.0,0,61480.0,7.316830158233643,0,0,0,61480.0,0,0,0,0,0,1560,11160,4800,800,11000,30000
109,61470.0,0,61470.0,7.938473224639893,0,0,0,61470.0,0,0,0,0,0,1550,11160,4800,800,11000,30000
110,61470.0,0,61470.0,7.726457357406616,0,0,0,61470.0,0,0,0,0,0,1550,11160,4800,800,11000,30000
111,61470.0,0,61470.0,8.389902830123901,0,0,0,61470.0,0,0,0,0,0,1550,11160,4800,800,11000,30000
112,61470.0,0,61470.0,7.717267990112305,0,0,0,61470.0,0,0,0,0,0,1550,11160,4800,800,11000,30000
113,61470.0,0,61470.0,7.865033864974976,0,0,0,61470.0,0,0,0,0,0,1550,11160,4800,800,11000,30000
114,61470.0,0,61470.0,7.622616291046143,0,0,0,61470.0,0,0,0,0,0,1550,11160,4800,800,11000,30000
115,61470.0,0,61470.0,7.676232814788818,0,0,0,61470.0,0,0,0,0,0,1550,11160,4800,800,11000,30000
116,61470.0,0,61470.0,7.376534700393677,0,0,0,61470.0,0,0,0,0,0,1550,11160,4800,800,11000,30000
117,61470.0,0,61470.0,7.338037014007568,0,0,0,61470.0,0,0,0,0,0,1550,11160,4800,800,11000,30000
118,61470.0,0,61470.0,7.603016138076782,0,0,0,61470.0,0,0,0,0,0,1550,11160,4800,800,11000,30000
119,61455.0,0,61455.0,8.888100862503052,0,0,0,61455.0,0,0,0,0,0,1520,11160,4800,800,11000,30000
120,61455.0,0,61455.0,7.363760709762573,0,0,0,61455.0,0,0,0,0,0,1520,11160,4800,800,11000,30000
